通判,布政,按察,Year_Range
0.0,0.0,0.0,-140--131
0.0,0.0,0.0,-130--121
0.0,0.0,0.0,-120--111
0.0,0.0,0.0,-110--101
0.0,0.0,0.0,-100--91
0.0,0.0,0.0,-90--81
0.0,0.0,0.0,-80--71
0.0,0.0,0.0,-70--61
0.0,0.0,0.0,-60--51
0.0,0.0,0.0,-50--41
0.0,1.0,0.0,-40--31
0.0,0.0,0.0,-30--21
0.0,0.0,0.0,-20--11
0.0,1.0,0.0,-10--1
0.0,0.0,0.0,0-9
0.0,0.0,0.0,10-19
0.0,1.0,0.0,20-29
0.0,0.0,0.0,30-39
0.0,0.0,0.0,40-49
0.0,0.0,0.0,50-59
0.0,0.0,0.0,60-69
0.0,0.0,0.0,70-79
0.0,0.0,0.0,80-89
0.0,0.0,0.0,90-99
0.0,0.0,0.0,100-109
0.0,0.0,0.0,110-119
0.0,0.0,0.0,120-129
0.0,0.0,0.0,130-139
0.0,0.0,0.0,140-149
0.0,0.0,0.0,150-159
0.0,2.0,0.0,160-169
0.0,1.0,0.0,170-179
0.0,0.0,0.0,180-189
0.0,0.0,0.0,190-199
0.0,0.0,0.0,200-209
0.0,0.0,0.0,210-219
0.0,0.0,0.0,220-229
0.0,1.0,0.0,230-239
0.0,1.0,0.0,240-249
0.0,0.0,0.0,250-259
0.0,1.0,0.0,260-269
0.0,0.0,0.0,270-279
0.0,1.0,0.0,280-289
0.0,0.0,0.0,290-299
0.0,0.0,0.0,300-309
0.0,1.0,0.0,310-319
0.0,0.0,0.0,320-329
0.0,0.0,0.0,330-339
0.0,0.0,0.0,340-349
0.0,0.0,0.0,350-359
0.0,1.0,0.0,360-369
0.0,3.0,0.0,370-379
0.0,0.0,0.0,380-389
0.0,0.0,0.0,390-399
0.0,0.0,0.0,400-409
0.0,0.0,0.0,410-419
0.0,0.0,0.0,420-429
0.0,2.0,0.0,430-439
0.0,0.0,0.0,440-449
0.0,0.0,0.0,450-459
0.0,0.0,0.0,460-469
0.0,3.0,0.0,470-479
0.0,3.0,0.0,480-489
0.0,1.0,0.0,490-499
0.0,3.0,0.0,500-509
0.0,1.0,0.0,510-519
0.0,1.0,0.0,520-529
0.0,6.0,0.0,530-539
0.0,3.0,0.0,540-549
0.0,0.0,0.0,550-559
0.0,2.0,0.0,560-569
1.0,1.0,3.0,570-579
0.0,8.0,1.0,580-589
1.0,5.0,0.0,590-599
0.0,0.0,0.0,600-609
0.0,3.0,0.0,610-619
0.0,7.0,0.0,620-629
2.0,2.0,3.0,630-639
0.0,3.0,0.0,640-649
0.0,1.0,2.0,650-659
0.0,1.0,3.0,660-669
2.0,13.0,3.0,670-679
0.0,0.0,1.0,680-689
0.0,2.0,1.0,690-699
0.0,7.0,3.0,700-709
3.0,5.0,14.0,710-719
0.0,0.0,12.0,720-729
0.0,1.0,4.0,730-739
0.0,0.0,5.0,740-749
1.0,1.0,3.0,750-759
1.0,0.0,3.0,760-769
0.0,0.0,3.0,770-779
3.0,1.0,5.0,780-789
0.0,0.0,4.0,790-799
0.0,0.0,0.0,800-809
0.0,0.0,1.0,810-819
0.0,0.0,0.0,820-829
0.0,1.0,2.0,830-839
0.0,1.0,2.0,840-849
0.0,0.0,0.0,850-859
0.0,0.0,0.0,860-869
0.0,0.0,6.0,870-879
0.0,0.0,0.0,880-889
0.0,0.0,0.0,890-899
0.0,0.0,0.0,900-909
0.0,1.0,0.0,910-919
0.0,0.0,1.0,920-929
0.0,1.0,1.0,930-939
2.0,0.0,0.0,940-949
2.0,1.0,0.0,950-959
18.0,0.0,0.0,960-969
37.0,0.0,4.0,970-979
53.0,2.0,3.0,980-989
60.0,0.0,0.0,990-999
67.0,1.0,2.0,1000-1009
40.0,0.0,1.0,1010-1019
52.0,0.0,7.0,1020-1029
2.0,3.0,2.0,1030-1039
71.0,0.0,5.0,1040-1049
15.0,0.0,0.0,1050-1059
32.0,0.0,0.0,1060-1069
81.0,0.0,6.0,1070-1079
54.0,0.0,6.0,1080-1089
60.0,7.0,4.0,1090-1099
34.0,1.0,2.0,1100-1109
23.0,3.0,0.0,1110-1119
39.0,1.0,5.0,1120-1129
71.0,3.0,4.0,1130-1139
19.0,0.0,4.0,1140-1149
9.0,0.0,10.0,1150-1159
36.0,0.0,13.0,1160-1169
42.0,0.0,6.0,1170-1179
12.0,0.0,2.0,1180-1189
15.0,0.0,14.0,1190-1199
21.0,0.0,58.0,1200-1209
49.0,0.0,44.0,1210-1219
6.0,0.0,19.0,1220-1229
10.0,0.0,6.0,1230-1239
38.0,1.0,2.0,1240-1249
3.0,0.0,0.0,1250-1259
11.0,1.0,17.0,1260-1269
10.0,1.0,11.0,1270-1279
15.0,0.0,4.0,1280-1289
0.0,0.0,5.0,1290-1299
5.0,0.0,10.0,1300-1309
