bin,exam,people,normalized_exam
"[-140, -130)",0,1,0.0
"[-130, -120)",0,3,0.0
"[-120, -110)",0,0,
"[-110, -100)",0,0,
"[-100, -90)",0,1,0.0
"[-90, -80)",0,2,0.0
"[-80, -70)",0,1,0.0
"[-70, -60)",0,0,
"[-60, -50)",0,2,0.0
"[-50, -40)",0,1,0.0
"[-40, -30)",0,1,0.0
"[-30, -20)",0,8,0.0
"[-20, -10)",0,3,0.0
"[-10, 0)",0,4,0.0
"[0, 10)",1,302,0.0033112582781456954
"[10, 20)",0,2,0.0
"[20, 30)",0,1,0.0
"[30, 40)",1,31,0.03225806451612903
"[40, 50)",0,3,0.0
"[50, 60)",0,2,0.0
"[60, 70)",0,33,0.0
"[70, 80)",0,3,0.0
"[80, 90)",0,3,0.0
"[90, 100)",0,19,0.0
"[100, 110)",0,5,0.0
"[110, 120)",0,2,0.0
"[120, 130)",0,4,0.0
"[130, 140)",0,4,0.0
"[140, 150)",0,2,0.0
"[150, 160)",0,13,0.0
"[160, 170)",0,5,0.0
"[170, 180)",0,8,0.0
"[180, 190)",0,16,0.0
"[190, 200)",0,19,0.0
"[200, 210)",0,9,0.0
"[210, 220)",0,16,0.0
"[220, 230)",0,14,0.0
"[230, 240)",0,11,0.0
"[240, 250)",0,18,0.0
"[250, 260)",0,15,0.0
"[260, 270)",0,14,0.0
"[270, 280)",0,9,0.0
"[280, 290)",0,22,0.0
"[290, 300)",0,14,0.0
"[300, 310)",0,13,0.0
"[310, 320)",0,17,0.0
"[320, 330)",0,18,0.0
"[330, 340)",0,16,0.0
"[340, 350)",0,22,0.0
"[350, 360)",0,23,0.0
"[360, 370)",0,26,0.0
"[370, 380)",0,20,0.0
"[380, 390)",0,34,0.0
"[390, 400)",0,27,0.0
"[400, 410)",0,38,0.0
"[410, 420)",0,34,0.0
"[420, 430)",0,42,0.0
"[430, 440)",0,69,0.0
"[440, 450)",0,60,0.0
"[450, 460)",0,70,0.0
"[460, 470)",0,85,0.0
"[470, 480)",0,119,0.0
"[480, 490)",0,125,0.0
"[490, 500)",0,123,0.0
"[500, 510)",0,162,0.0
"[510, 520)",0,214,0.0
"[520, 530)",0,223,0.0
"[530, 540)",0,305,0.0
"[540, 550)",0,387,0.0
"[550, 560)",0,525,0.0
"[560, 570)",0,683,0.0
"[570, 580)",2,691,0.002894356005788712
"[580, 590)",0,946,0.0
"[590, 600)",0,1034,0.0
"[600, 610)",6,1006,0.005964214711729622
"[610, 620)",7,1034,0.006769825918762089
"[620, 630)",3,1405,0.002135231316725979
"[630, 640)",12,1219,0.009844134536505332
"[640, 650)",15,1313,0.011424219345011425
"[650, 660)",26,1485,0.017508417508417508
"[660, 670)",10,1542,0.00648508430609598
"[670, 680)",17,1615,0.010526315789473684
"[680, 690)",9,1441,0.006245662734212352
"[690, 700)",26,1862,0.013963480128893663
"[700, 710)",19,1699,0.011183048852266038
"[710, 720)",29,1517,0.01911667765326302
"[720, 730)",28,1622,0.01726263871763255
"[730, 740)",11,1895,0.005804749340369393
"[740, 750)",35,1655,0.021148036253776436
"[750, 760)",36,1644,0.021897810218978103
"[760, 770)",47,1811,0.025952512424075095
"[770, 780)",57,1799,0.03168426903835464
"[780, 790)",32,1760,0.01818181818181818
"[790, 800)",44,1634,0.02692778457772338
"[800, 810)",42,1510,0.02781456953642384
"[810, 820)",34,1427,0.023826208829712685
"[820, 830)",35,1170,0.029914529914529916
"[830, 840)",40,1045,0.03827751196172249
"[840, 850)",27,872,0.03096330275229358
"[850, 860)",8,612,0.013071895424836602
"[860, 870)",18,382,0.04712041884816754
"[870, 880)",16,302,0.052980132450331126
"[880, 890)",5,259,0.019305019305019305
"[890, 900)",17,388,0.04381443298969072
"[900, 910)",13,279,0.04659498207885305
"[910, 920)",27,433,0.06235565819861432
"[920, 930)",33,462,0.07142857142857142
"[930, 940)",59,401,0.14713216957605985
"[940, 950)",117,499,0.23446893787575152
"[950, 960)",245,673,0.3640416047548291
"[960, 970)",206,680,0.3029411764705882
"[970, 980)",339,868,0.39055299539170507
"[980, 990)",264,757,0.3487450462351387
"[990, 1000)",282,824,0.3422330097087379
"[1000, 1010)",457,1079,0.4235403151065802
"[1010, 1020)",722,1420,0.5084507042253521
"[1020, 1030)",601,1365,0.4402930402930403
"[1030, 1040)",532,1374,0.38719068413391555
"[1040, 1050)",841,1673,0.5026897788404064
"[1050, 1060)",709,1590,0.4459119496855346
"[1060, 1070)",737,1710,0.43099415204678365
"[1070, 1080)",1252,2189,0.5719506624029237
"[1080, 1090)",1142,1928,0.5923236514522822
"[1090, 1100)",1065,2006,0.5309072781655035
"[1100, 1110)",858,1680,0.5107142857142857
"[1110, 1120)",685,1482,0.4622132253711201
"[1120, 1130)",949,1824,0.5202850877192983
"[1130, 1140)",1230,2101,0.5854355069014755
"[1140, 1150)",847,1596,0.5307017543859649
"[1150, 1160)",858,1632,0.5257352941176471
"[1160, 1170)",1382,2225,0.621123595505618
"[1170, 1180)",1003,1729,0.5801041064198958
"[1180, 1190)",1020,1773,0.5752961082910322
"[1190, 1200)",1782,2630,0.6775665399239543
"[1200, 1210)",1150,1865,0.6166219839142091
"[1210, 1220)",1197,1853,0.645979492714517
"[1220, 1230)",1269,1930,0.6575129533678756
"[1230, 1240)",1442,2061,0.6996603590490054
"[1240, 1250)",702,1386,0.5064935064935064
"[1250, 1260)",7,603,0.011608623548922056
"[1260, 1270)",6,629,0.009538950715421303
"[1270, 1280)",15,637,0.023547880690737835
"[1280, 1290)",58,565,0.10265486725663717
"[1290, 1300)",121,702,0.17236467236467237
"[1300, 1310)",127,775,0.1638709677419355
"[1310, 1320)",58,530,0.10943396226415095
"[1320, 1330)",76,541,0.14048059149722736
"[1330, 1340)",40,495,0.08080808080808081
"[1340, 1350)",115,629,0.18282988871224165
"[1350, 1360)",518,958,0.5407098121085595
"[1360, 1370)",280,778,0.35989717223650386
