,"通判,布政,按察","通侯,課第售,川師","專知,司員,殿前神威軍",year_Range
0,0.0,0.01694915254237288,0.0,-140--131
1,0.0,0.0,0.0,-130--121
2,0.0,0.02247191011235955,0.0,-120--111
3,0.0,0.0,0.0,-110--101
4,0.0,0.01639344262295082,0.0,-100--91
5,0.0,0.0,0.0,-90--81
6,0.0,0.02127659574468085,0.0,-80--71
7,0.0,0.01818181818181818,0.0,-70--61
8,0.0,0.00980392156862745,0.0,-60--51
9,0.007633587786259542,0.015267175572519083,0.0,-50--41
10,0.0,0.0,0.0,-40--31
11,0.0,0.0,0.0,-30--21
12,0.0,0.0,0.0,-20--11
13,0.008849557522123894,0.0,0.0,-10--1
14,0.0,0.00558659217877095,0.0,0-9
15,0.0,0.0,0.0,10-19
16,0.0,0.0025906735751295338,0.0,20-29
17,0.0,0.0,0.0,30-39
18,0.0,0.003105590062111801,0.0,40-49
19,0.0,0.0,0.0,50-59
20,0.0045662100456621,0.0,0.0,60-69
21,0.0,0.029411764705882353,0.0,70-79
22,0.0,0.0,0.0,80-89
23,0.0,0.0,0.0,90-99
24,0.0,0.0,0.0,100-109
25,0.0,0.0,0.0,110-119
26,0.0,0.0,0.0,120-129
27,0.020202020202020204,0.0,0.0,130-139
28,0.014084507042253521,0.0,0.0,140-149
29,0.0,0.0,0.0,150-159
30,0.0,0.0,0.0,160-169
31,0.0,0.0,0.0,170-179
32,0.0,0.0,0.0,180-189
33,0.0,0.0,0.0,190-199
34,0.0,0.02702702702702703,0.0,200-209
35,0.0,0.0,0.0,210-219
36,0.0,0.0,0.0,220-229
37,0.0033783783783783786,0.0,0.0,230-239
38,0.005714285714285714,0.0,0.0,240-249
39,0.0,0.0,0.0,250-259
40,0.002257336343115124,0.0,0.0,260-269
41,0.0,0.0,0.0,270-279
42,0.0,0.0,0.0,280-289
43,0.004545454545454545,0.0,0.0,290-299
44,0.0,0.0,0.0,300-309
45,0.0025252525252525255,0.0,0.0,310-319
46,0.0,0.0,0.0,320-329
47,0.013953488372093023,0.0,0.0,330-339
48,0.0,0.011764705882352941,0.0,340-349
49,0.0,0.0,0.0,350-359
50,0.0,0.0,0.0,360-369
51,0.0,0.0,0.0,370-379
52,0.0,0.0,0.0,380-389
53,0.0,0.0,0.0,390-399
54,0.0,0.0,0.0,400-409
55,0.002849002849002849,0.0,0.0,410-419
56,0.004222150048717116,0.0,0.0003247807729782397,420-429
57,0.0007380073800738007,0.0,0.0,430-439
58,0.0,0.0,0.0,440-449
59,0.0,0.0,0.0,450-459
60,0.000651890482398957,0.0,0.0,460-469
61,0.0,0.0,0.0,470-479
62,0.0034129692832764505,0.0005688282138794084,0.0005688282138794084,480-489
63,0.0012690355329949238,0.0012690355329949238,0.0012690355329949238,490-499
64,0.0012106537530266344,0.0,0.0,500-509
65,0.0,0.0,0.0017152658662092624,510-519
66,0.0026702269692923898,0.0,0.0,520-529
67,0.0008620689655172414,0.0,0.0,530-539
68,0.0013908205841446453,0.0,0.0,540-549
69,0.0,0.0,0.0,550-559
70,0.0016181229773462784,0.0,0.0,560-569
71,0.002297090352220521,0.0015313935681470138,0.0007656967840735069,570-579
72,0.0022988505747126436,0.0,0.0,580-589
73,0.0019933554817275745,0.000664451827242525,0.0,590-599
74,0.014598540145985401,0.0,0.0036496350364963502,600-609
75,0.006864988558352402,0.0,0.0,610-619
76,0.0011577424023154848,0.0,0.0011577424023154848,620-629
77,0.0030821917808219177,0.0,0.0,630-639
78,0.0,0.0,0.0,640-649
79,0.005952380952380952,0.0,0.0035714285714285713,650-659
80,0.010075566750629723,0.0,0.0,660-669
81,0.002105263157894737,0.0,0.002105263157894737,670-679
82,0.006750241080038573,0.0,0.010607521697203472,680-689
83,0.007653061224489796,0.0,0.00510204081632653,690-699
84,0.010460251046025104,0.0005230125523012552,0.006799163179916318,700-709
85,0.03034134007585335,0.0,0.0025284450063211127,710-719
86,0.01695786228160329,0.0,0.003083247687564234,720-729
87,0.010869565217391304,0.0,0.010869565217391304,730-739
88,0.001072961373390558,0.0,0.002682403433476395,740-749
89,0.0026086956521739132,0.0,0.0026086956521739132,750-759
90,0.0008733624454148472,0.0,0.0026200873362445414,760-769
91,0.0,0.0,0.0,770-779
92,0.0,0.0,0.001160092807424594,780-789
93,0.002304147465437788,0.0,0.0015360983102918587,790-799
94,0.006578947368421052,0.0,0.0,800-809
95,0.002544529262086514,0.0,0.004240882103477523,810-819
96,0.0,0.0,0.0048,820-829
97,0.0013192612137203166,0.0,0.00395778364116095,830-839
98,0.002531645569620253,0.0,0.002531645569620253,840-849
99,0.004761904761904762,0.0,0.0,850-859
100,0.0,0.0,0.002702702702702703,860-869
101,0.0,0.0,0.005076142131979695,870-879
102,0.0,0.0,0.0,880-889
103,0.0,0.0,0.0,890-899
104,0.002652519893899204,0.0,0.002652519893899204,900-909
105,0.003105590062111801,0.0,0.003105590062111801,910-919
106,0.0028735632183908046,0.0014367816091954023,0.0,920-929
107,0.0,0.0,0.0,930-939
108,0.0023612750885478157,0.0,0.004722550177095631,940-949
109,0.006036217303822937,0.0,0.0,950-959
110,0.038385826771653545,0.0,0.006889763779527559,960-969
111,0.036076662908680945,0.0,0.004509582863585118,970-979
112,0.05919180421172453,0.0005691519635742744,0.0005691519635742744,980-989
113,0.04330392943063352,0.0,0.0024057738572574178,990-999
114,0.03289473684210526,0.0,0.0013157894736842105,1000-1009
115,0.05012325390304026,0.0008216926869350862,0.0016433853738701725,1010-1019
116,0.07788595271210014,0.0,0.0,1020-1029
117,0.06146926536731634,0.0,0.0,1030-1039
118,0.08792650918635171,0.0,0.0,1040-1049
119,0.04,0.0,0.003243243243243243,1050-1059
120,0.03166666666666667,0.0,0.0,1060-1069
121,0.043091655266757865,0.0,0.0013679890560875513,1070-1079
122,0.019417475728155338,0.0,0.0062413314840499305,1080-1089
123,0.044966785896780784,0.0,0.009708737864077669,1090-1099
124,0.023424878836833602,0.0,0.008885298869143781,1100-1109
125,0.018218623481781375,0.0,0.0010121457489878543,1110-1119
126,0.04262295081967213,0.0,0.010382513661202186,1120-1129
127,0.015116279069767442,0.0,0.0069767441860465115,1130-1139
128,0.037018756169792694,0.0,0.007403751233958539,1140-1149
129,0.010834236186348862,0.0,0.00866738894907909,1150-1159
130,0.040106951871657755,0.0,0.0037433155080213902,1160-1169
131,0.023474178403755867,0.0,0.012743125419181758,1170-1179
132,0.013513513513513514,0.0,0.0,1180-1189
133,0.03695652173913044,0.0,0.0036231884057971015,1190-1199
134,0.08568075117370892,0.0,0.002347417840375587,1200-1209
135,0.047028086218158065,0.0,0.007184846505551927,1210-1219
136,0.039285714285714285,0.0,0.007142857142857143,1220-1229
137,0.043697478991596636,0.0,0.013445378151260505,1230-1239
138,0.047619047619047616,0.0,0.003401360544217687,1240-1249
139,0.030303030303030304,0.0,0.0,1250-1259
140,0.05639913232104121,0.0010845986984815619,0.0,1260-1269
141,0.032467532467532464,0.0,0.0,1270-1279
142,0.0,0.0,0.0,1280-1289
143,0.011428571428571429,0.0,0.0,1290-1299
144,0.02459016393442623,0.0,0.005737704918032787,1300-1309
145,0.017857142857142856,0.0,0.008928571428571428,1310-1319
146,0.007656967840735069,0.0,0.013782542113323124,1320-1329
147,0.07581420181526963,0.0,0.0037373198077949813,1330-1339
148,0.03971631205673759,0.0,0.005673758865248227,1340-1349
149,0.021011673151750974,0.0,0.0038910505836575876,1350-1359
150,0.01972386587771203,0.0,0.0039447731755424065,1360-1369
151,0.0,0.0,0.0,1370-1379
152,0.0,0.0,0.0,1380-1389
153,0.0,0.0,0.0,1390-1399
