,"通判,布政,按察",year_Range
0,0.0,-140--131
1,0.0,-130--121
2,0.0,-120--111
3,0.0,-110--101
4,0.0,-100--91
5,0.0,-90--81
6,0.0,-80--71
7,0.0,-70--61
8,0.0,-60--51
9,0.0033783783783783786,-50--41
10,0.0,-40--31
11,0.0,-30--21
12,0.0,-20--11
13,0.003246753246753247,-10--1
14,0.0,0-9
15,0.0,10-19
16,0.0,20-29
17,0.0,30-39
18,0.0,40-49
19,0.0,50-59
20,0.0023752969121140144,60-69
21,0.0,70-79
22,0.0,80-89
23,0.0,90-99
24,0.0,100-109
25,0.0,110-119
26,0.0,120-129
27,0.008928571428571428,130-139
28,0.005434782608695652,140-149
29,0.0,150-159
30,0.0,160-169
31,0.0,170-179
32,0.0,180-189
33,0.0,190-199
34,0.0,200-209
35,0.0,210-219
36,0.0,220-229
37,0.0016891891891891893,230-239
38,0.002145922746781116,240-249
39,0.0,250-259
40,0.0012330456226880395,260-269
41,0.0,270-279
42,0.0,280-289
43,0.002544529262086514,290-299
44,0.0,300-309
45,0.0016207455429497568,310-319
46,0.0,320-329
47,0.008875739644970414,330-339
48,0.0,340-349
49,0.0,350-359
50,0.0,360-369
51,0.0,370-379
52,0.0,380-389
53,0.0,390-399
54,0.0,400-409
55,0.0016313213703099511,410-419
56,0.00287292817679558,420-429
57,0.00031210986267166043,430-439
58,0.0,440-449
59,0.0,450-459
60,0.0003505082369435682,460-469
61,0.0,470-479
62,0.0017162471395881006,480-489
63,0.0005714285714285715,490-499
64,0.0005017561465127947,500-509
65,0.0,510-519
66,0.0018306636155606408,520-529
67,0.00044033465433729633,530-539
68,0.0009402914903620122,540-549
69,0.0,550-559
70,0.0008378718056137411,560-569
71,0.0013268465280849183,570-579
72,0.0005743825387708214,580-589
73,0.001488833746898263,590-599
74,0.005738880918220947,600-609
75,0.004070556309362279,610-619
76,0.0006745362563237774,620-629
77,0.002008032128514056,630-639
78,0.0,640-649
79,0.0038255547054322878,650-659
80,0.00625,660-669
81,0.0012437810945273632,670-679
82,0.004375,680-689
83,0.004507888805409466,690-699
84,0.00719165767709457,700-709
85,0.009983361064891847,710-719
86,0.010798429319371727,720-729
87,0.0030959752321981426,730-739
88,0.0007230657989877079,740-749
89,0.0016565433462175593,750-759
90,0.00045024763619990995,760-769
91,0.0,770-779
92,0.0,780-789
93,0.001509813789632612,790-799
94,0.0015151515151515152,800-809
95,0.0016675931072818232,810-819
96,0.0,820-829
97,0.0008771929824561404,830-839
98,0.001447178002894356,840-849
99,0.003205128205128205,850-859
100,0.0,860-869
101,0.0,870-879
102,0.0,880-889
103,0.0,890-899
104,0.001388888888888889,900-909
105,0.0016366612111292963,910-919
106,0.0017761989342806395,920-929
107,0.0,930-939
108,0.0019782393669634025,940-949
