c_personid,c_year,c_index_year
126553,1532,1
291900,0,31
32004,0,573
17130,595,578
30948,0,600
94365,0,602
93445,0,603
91930,0,607
94022,0,607
93359,0,608
31080,0,610
93208,0,610
93526,0,612
92865,0,614
92748,0,616
95092,0,617
25500,649,619
12419,0,625
94374,0,626
12372,659,629
3840,0,630
31103,0,630
92303,0,633
30980,0,634
30981,0,634
91979,0,634
92110,0,634
94460,0,634
94851,0,634
31506,0,635
94368,0,636
92832,0,639
31081,0,640
32154,0,642
93218,0,643
31575,0,645
32593,0,645
31511,0,647
31601,0,647
91903,0,647
93873,0,647
93924,0,647
92660,0,648
31552,0,649
31631,0,649
92966,0,649
94633,0,649
30942,0,650
30982,0,650
31460,680,650
31958,0,650
32198,0,650
31106,0,651
92630,0,651
92873,0,652
31733,0,653
92326,0,653
31082,0,654
92808,0,654
31560,0,656
94398,0,656
31590,695,657
92861,0,657
30975,679,658
15353,0,659
30388,0,659
31421,0,659
31652,0,659
32009,0,659
32589,0,659
92472,0,659
92474,0,659
93863,0,659
31322,684,661
31723,0,661
92132,0,662
31275,0,663
92999,0,663
31684,0,665
92036,0,667
31847,0,668
32433,0,669
32434,0,669
11605,0,670
31957,0,671
94652,0,671
94500,0,673
32125,705,675
92710,0,675
31158,0,676
32100,706,676
94586,0,676
32091,0,677
32093,0,677
32094,0,677
32096,0,677
32097,0,677
3130,702,678
32086,0,679
32095,0,679
18384,0,680
31453,0,680
31368,0,683
92476,0,684
31150,0,687
31685,0,687
32990,717,687
32562,0,689
94699,0,689
3129,0,690
92035,0,690
31725,0,691
32776,0,691
92685,0,691
94589,0,691
31498,0,692
92045,0,692
10556,706,693
92192,0,693
32085,717,694
32405,724,694
93418,0,694
93603,0,694
94967,0,694
31724,0,696
92144,0,696
31413,0,697
31726,0,697
93461,0,697
31727,0,698
94907,0,698
32087,0,699
32088,0,699
32089,0,699
32090,0,699
32174,721,700
32401,730,700
93838,0,700
94908,0,700
92829,0,701
95072,0,701
94628,0,702
92395,0,703
31667,0,704
31671,0,704
33604,0,706
94771,0,706
32461,737,707
32574,0,708
15367,739,709
32169,734,709
32683,0,709
93414,0,709
95025,0,709
32718,743,710
94271,0,710
32740,739,711
32878,751,712
32999,0,712
92830,0,712
31499,743,713
32763,0,713
94514,0,713
32334,0,714
32162,734,715
32583,743,715
93242,0,715
93505,0,715
31808,743,716
93096,0,716
93495,0,716
94876,0,716
169747,0,716
92641,0,717
92814,0,717
93459,0,717
93936,0,717
94109,0,717
18560,748,718
33083,0,718
15159,0,719
32816,0,719
32889,753,719
94828,0,720
3006,751,721
16133,751,721
16134,751,721
32279,0,721
32578,743,721
33084,0,721
92280,0,721
92945,0,722
94115,0,722
24409,0,723
92607,0,723
93103,0,723
94858,0,723
32865,0,724
13623,0,725
32917,0,725
92410,0,725
92608,0,725
93068,0,725
93943,0,725
33566,0,727
92411,0,727
93166,0,727
94240,0,727
94196,0,728
94490,0,729
94498,0,729
11745,751,730
94994,0,731
33026,0,733
93127,0,733
93598,0,733
11199,751,734
92517,0,735
33605,0,736
92758,0,736
93527,0,736
21187,0,738
32953,770,740
93198,0,740
93790,0,740
94230,0,740
94352,0,740
32861,0,741
16113,0,742
32785,766,742
